Title/Details,Site: in Papers Section?,Site: Public?,Date (D/M/Y),Venue,Link,Site: Link to Paper,Site: Link to Github,Site: Alt Source,Abstract,Site: Blurb,Site: Link to Blog Post,Site: List of Authors,Site: Venue,Site: codename,Status
Role-Based Normativity Should Guide the Alignment of General-Purpose Personal AI Agents,Yes,No,07/05/2026,Conference on Neural Information Processing Systems 2026 Position Paper Track,,,,,,,,"Arianna Manzini, Beatrice Marchegiani, Elizaveta Tennant, Demetra Brady, Matija Franklin, Canfer Akbulut, Seth Lazar, Fernando Diaz, Verena Rieser, Iason Gabriel, Julia Haas",Conference on Neural Information Processing Systems 2026 Position Paper Track,role-based-normativity,Under Review
A Scalable Approach to Evaluating Moral Sensitivity in LLMs,Yes,No,07/05/2026,Conference on Neural Information Processing Systems 2026,,,,,,,,"Daniel Kilov, Secil Yanik Guyot, Caroline Hendy, Sichao Li, Seth Lazar",,scalable-sensitivity,Under Review
"Blind Refusal: Language Models Refuse to Help Users Evade Unjust, Absurd, and Illegitimate Rules",Yes,Yes,03/04/2026,Conference on Language Modeling,https://arxiv.org/abs/2604.06233,https://arxiv.org/abs/2604.06233,https://github.com/mint-philosophy/blind-refusal,,"Safety-trained language models routinely refuse requests for help circumventing rules. But not all rules deserve compliance. When users ask for help evading rules imposed by an illegitimate authority, rules that are deeply unjust or absurd in their content or application, or rules that admit of justified exceptions, refusal is a failure of moral reasoning. We introduce empirical results documenting this pattern of refusal that we call blind refusal: the tendency of language models to refuse requests for help breaking rules without regard to whether the underlying rule is defensible. Our dataset comprises synthetic cases crossing 5 defeat families (reasons a rule can be broken) with 19 authority types, validated through three automated quality gates and human review. We collect responses from 18 model configurations across 7 families and classify them on two behavioral dimensions -- response type (helps, hard refusal, or deflection) and whether the model recognizes the reasons that undermine the rule's claim to compliance -- using a blinded GPT-5.4 LLM-as-judge evaluation. We find that models refuse 75.4% (N=14,650) of defeated-rule requests and do so even when the request poses no independent safety or dual-use concerns. We also find that models engage with the defeat condition in the majority of cases (57.5%) but decline to help regardless -- indicating that models' refusal behavior is decoupled from their capacity for normative reasoning about rule legitimacy.",Measures pervasive “blind refusal”: models refusing to help users break rules that shouldn’t be followed in the first place.,https://philosophyofcomputing.substack.com/p/i-cant-help-with-that,"Cameron Pattison, Lorenzo Manuali, Seth Lazar",Preprint,blind-refusal,Under Review
Towards the Political Philosophy of Computing: Conversations with Fairness and Machine Learning,Yes,Yes,31/03/2026,ACM Journal on Responsible Computing,https://dl.acm.org/doi/full/10.1145/3802829,https://doi.org/10.1145/3802829,,,"The aim of this special section is to curate an interdisciplinary conversation between computer and information scientists and philosophers. The contributions explore how Fairness and Machine Learning: Limitations and Opportunities can be used as a springboard for examining the role of empirical computer science in the political philosophy of computing, and vice versa. Our hope is that this symposium can spark a multidisciplinary dialogue around questions that are at root philosophical but touch on technical aspects, the socio-technical systems in which ML is embedded and ML's social impacts. The aim of this special section is to curate an interdisciplinary conversation between computer and information scientists and philosophers. The contributions explore how Fairness and Machine Learning: Limitations and Opportunities can be used as a springboard for examining the role of empirical computer science in the political philosophy of computing, and vice versa. Our hope is that this symposium can spark a multidisciplinary dialogue around questions that are at root philosophical but touch on technical aspects, the socio-technical systems in which ML is embedded and ML's social impacts.","An edited collection on political philosophy of computing, connecting philosophers and machine learning researchers.",,"Diana Acosta-Navas, Henrik Kugelberg, Seth Lazar, Alan Rubel",ACM Journal on Responsible Computing,towards-political-philosophy-computing,Published
Beyond Verdicts: Evaluating Large Language Model Ethical Competence,Yes,Yes,14/03/2026,"Association for the Advancement of Artificial Intelligence Conference, AI Alignment Track",https://ojs.aaai.org/index.php/AAAI/article/view/41131,https://ojs.aaai.org/index.php/AAAI/article/view/41131,https://github.com/mint-philosophy/Beyond-Verdicts-Paper,,"As Large Language Models (LLMs) are increasingly deployed as Artificial Moral Advisors and autonomous agents making ethical decisions, evaluating their moral competence has become critical. However, existing evaluations may inadequately assess the moral reasoning capabilities needed for real-world deployment, focusing primarily on whether models can match human judgments on carefully curated ethical scenarios. We surveyed 69 papers evaluating LLM ethical competence (2020-2025) and developed a taxonomy categorizing evaluations across datasets, behaviors, and metrics. Our comprehensive analysis maps the methodological landscape of this rapidly growing field and reveals several critical limitations. Most significantly, the vast majority of studies rely on pre-packaged scenarios that highlight morally relevant features, failing to test models' ability to identify ethical considerations in noisy, realistic contexts-what we term ""moral sensitivity"". Additionally, evaluations overemphasize verdict accuracy rather than assessing moral reasoning quality and steerability, with few studies testing whether models can be appropriately guided toward different ethical frameworks. Most studies rely on ""ground truth"" comparisons despite philosophical arguments that reasonable moral pluralism precludes definitive moral ground truth. In light of these gaps, we argue for a significant methodological shift: moving from curated scenarios to unfiltered information streams, from verdict accuracy to reasoning quality and steerability, and from ground truth metrics to assessments of reasonableness and consistency. This reorientation is essential for developing AI systems that can navigate moral complexity in real-world deployment scenarios.","Instead of merely testing the ""accuracy"" of an LLM's verdict against moral ""ground truth"" in pre-packaged scenarios, normative competence evals should focus on a broader set of capacities.",no post yet,"Aaron J. Snoswell, Daniel Kilov, Seth Lazar","Association for the Advancement of Artificial Intelligence Conference, AI Alignment Track",beyond-verdicts,Accepted
Discerning What Matters: A Multi-Dimensional Assessment of Moral Competence in LLMs,Yes,Yes,11/01/2026,International Association for Safe and Ethical AI 2026; Conference on Neural Information Processing Systems 2025; FAR.AI Alignment Workshop; EvalEval / UK AI Security Institute Workshop,https://arxiv.org/abs/2506.13082,https://arxiv.org/abs/2506.13082,https://github.com/mint-philosophy/Measuring-Moral-Skill-in-LLMs,,"Moral competence is the ability to act in accordance with moral principles. As large language models (LLMs) are increasingly deployed in situations demanding moral competence, there is increasing interest in evaluating this ability empirically. We review existing literature and identify three significant shortcoming: (i) Over-reliance on prepackaged moral scenarios with explicitly highlighted moral features; (ii) Focus on verdict prediction rather than moral reasoning; and (iii) Inadequate testing of models' (in)ability to recognize when additional information is needed. Grounded in philosophical research on moral skill, we then introduce a novel method for assessing moral competence in LLMs. Our approach moves beyond simple verdict comparisons to evaluate five dimensions of moral competence: identifying morally relevant features, weighting their importance, assigning moral reasons to these features, synthesizing coherent moral judgments, and recognizing information gaps. We conduct two experiments comparing six leading LLMs against non-expert humans and professional philosophers. In our first experiment using ethical vignettes standard to existing work, LLMs generally outperformed non-expert humans across multiple dimensions of moral reasoning. However, our second experiment, featuring novel scenarios designed to test moral sensitivity by embedding relevant features among irrelevant details, revealed a striking reversal: several LLMs performed significantly worse than humans. Our findings suggest that current evaluations may substantially overestimate LLMs' moral reasoning capabilities by eliminating the task of discerning moral relevance from noisy information, which we take to be a prerequisite for genuine moral skill. This work provides a more nuanced framework for assessing AI moral competence and highlights important directions for improving moral competence in advanced AI systems.",This experiment highlights an overlooked moral skill: distinguishing morally relevant features from (irrelevant) noise.,no post yet,"Daniel Kilov, Caroline Hendy, Secil Yanik Guyot, Aaron J. Snoswell, Seth Lazar",International Association for Safe and Ethical AI,discerning-what-matters,Accepted
Legal Alignment for Safe and Ethical AI,Yes,Yes,07/01/2026,Transactions on Machine Learning Research,https://arxiv.org/abs/2601.04175,https://arxiv.org/abs/2601.04175,,,,"Surveys legal alignment as a research program for using legal rules, principles, and interpretive methods to guide safe and ethical AI systems.",,"Noam Kolt, Nicholas Caputo, Jack Boeglin, Cullen O'Keefe, Rishi Bommasani, Stephen Casper, Mariano-Florentino Cuellar, Noah Feldman, Iason Gabriel, Gillian K. Hadfield, Lewis Hammond, Peter Henderson, Atoosa Kasirzadeh, Seth Lazar, Anka Reuel, Kevin Wei, Jonathan Zittrain",Transactions on Machine Learning Research,legal-alignment-safe-ai,Accepted
Trustworthy computation in engineer’s equation-based simulations,Yes,Yes,17/12/2025,Synthese,https://doi.org/10.1007/s11229-025-05397-6,https://doi.org/10.1007/s11229-025-05397-6,no github,,"This paper investigates the trustworthiness of computation implemented in simulations in engineering, with a specific focus on equation-based simulations. Whereas opacity discussions in the computer simulation literature typically center on modeling opacity, we direct our attention to the grounds engineers should have for trusting that the computer indeed found an acceptable solution to a given model. This is a particularly sensitive issue in situations in which analytical or experimental methods are impossible or impractical. After critically reviewing alternative views found in the literature, we propose a systematic approach for evaluating the accuracy of solutions obtained via computational methods, that involves quantifying residual errors and evaluating the model’s conditioning. We argue that, in equation-based simulations, ensuring that the residual is small enough and that the model is sufficiently well-conditioned provides a sufficient epistemic foundation for engineers to place their trust in the results obtained via computer simulations as much as they trust the models they use, thereby giving a conceptual basis for this much needed kind of conditional trust.",When should engineers trust the outcomes of computer simulations?,no post yet,"Iman Ferestade, Nicolas Fillion",Synthese,trustworthy-engineer,Published
Using LLMs to Enhance Democracy,Yes,Yes,04/12/2025,Minds and Machines,https://link.springer.com/article/10.1007/s11023-026-09767-y,https://link.springer.com/article/10.1007/s11023-026-09767-y,,,"LLMs are among the most advanced tools ever devised for understanding and generating natural language. Democratic deliberation and decision-making involve, at several distinct stages, the production and comprehension of language. So it is natural to ask whether our best linguistic tools might prove instrumental to one of our most important tasks involving language. Researchers and practitioners have recently asked whether LLMs can support democratic deliberation by leveraging abilities to summarise content, to aggregate opinion over summarised content, and to represent voters by predicting their preferences over unseen choices. In this paper, we assess whether using LLMs to perform these and related functions really advances the democratic values behind these experiments. We suggest that the record is mixed. In the presence of background inequality of power and resources, as well as deep moral and political disagreement, we should not use LLMs to automate non-instrumentally valuable components of the democratic process, nor be tempted to supplant fair and transparent decision-making procedures that are practically necessary to reconcile competing interests and values. However, while LLMs should be kept well clear of formal democratic decision-making processes, we think they can instead strengthen the informal public sphere--the arena that mediates between democratic governments and the polities that they serve, in which political communities seek information, form civic publics, and hold their leaders to account.","LLMs could provide significant benefits for democracy, especially in the informal public sphere.  ",,"Seth Lazar, Lorenzo Manuali",Minds and Machines,llm-democracy,Published
The AI Power Disparity Index: Toward a Compound Measure of AI Actors’ Power to Shape the AI Ecosystem,Yes,Yes,15/10/2025,"Artificial Intelligence, Ethics, and Society Conference; Knight First Amendment Institute",https://ojs.aaai.org/index.php/AIES/article/view/36645,https://ojs.aaai.org/index.php/AIES/article/view/36645,no github,,"The rapid advancement and adoption of Artificial Intelligence (AI) is reshaping power dynamics among key AI stakeholder groups. Capturing this shift requires a framework to assess various dimensions of power held by different players in the AI ecosystem. While previous work has explored AI power dynamics from theoretical and philosophical perspectives, little attention has been given to concretely measuring who is involved in and impacted by the shifting power dynamics, which dimensions of power are evolving over time, and to what extent. In this paper, we conceptualize the AI Power Disparity Index (AI-PDI): a composite indicator designed to measure and signal the changing distribution of power in the AI ecosystem. Drawing on interdisciplinary theories, we propose to aggregate several key dimensions of power in the index, including its bases, means, scope, and degree. While the primary contribution of this work is to conceptualize the index, we take an initial step toward operationalizing it: inspired by the Delphi method, we recommend a collaborative, expert-driven methodology to determine the specific form and content of the index. We envision the AI-PDI to serve as a critical resource for policymakers, researchers, and civil society to track evolving power dynamics around AI, encouraging informed dialogue and guiding long-term strategies for democratic and transparent development and use of the technology.",Proposes and begins to develop a multidimensional index of how power is distributed in the AI ecosystem.,no post yet,"Rachel M. Kim, Blaine Kuehnert, Seth Lazar, Ranjit Singh, Hoda Heidari","Artificial Intelligence, Ethics, and Society Conference",ai-power-index,Published
Infrastructure for AI Agents,Yes,Yes,05/10/2025,Transactions on Machine Learning Research,https://arxiv.org/abs/2501.10114,https://arxiv.org/abs/2501.10114,no github,,"AI agents plan and execute interactions in open-ended environments. For example, OpenAI's Operator can use a web browser to do product comparisons and buy online goods. Much research on making agents useful and safe focuses on directly modifying their behaviour, such as by training them to follow user instructions. Direct behavioural modifications are useful, but do not fully address how heterogeneous agents will interact with each other and other actors. Rather, we will need external protocols and systems to shape such interactions. For instance, agents will need more efficient protocols to communicate with each other and form agreements. Attributing an agent's actions to a particular human or other legal entity can help to establish trust, and also disincentivize misuse. Given this motivation, we propose the concept of \textbf{agent infrastructure}: technical systems and shared protocols external to agents that are designed to mediate and influence their interactions with and impacts on their environments. Just as the Internet relies on protocols like HTTPS, our work argues that agent infrastructure will be similarly indispensable to ecosystems of agents. We identify three functions for agent infrastructure: 1) attributing actions, properties, and other information to specific agents, their users, or other actors; 2) shaping agents' interactions; and 3) detecting and remedying harmful actions from agents. We provide an incomplete catalog of research directions for such functions. For each direction, we include analysis of use cases, infrastructure adoption, relationships to existing (internet) infrastructure, limitations, and open questions. Making progress on agent infrastructure can prepare society for the adoption of more advanced agents.","Proposes the concept of infrastructure for AI agents: systems that govern attribution, interaction and human oversight.",no post yet,"Alan Chan, Kevin Wei, Sihao Huang, Nitarshan Rajkumar, Elija Perrier, Seth Lazar, Gillian K. Hadfield, Markus Anderljung",Transactions on Machine Learning Research,infrastructure-ai-agents,Published
The Moral Case for Using Language Model Agents for Recommendation,Yes,Yes,04/09/2025,Inquiry,https://www.tandfonline.com/doi/full/10.1080/0020174X.2025.2515579?src=exp-la ,https://www.tandfonline.com/doi/full/10.1080/0020174X.2025.2515579?src=exp-la ,no github,,"Our information and communication environment has fallen short of the ideals that networked global communication might have served. Existing recommender systems very likely contribute to this shortfall. In this paper, which draws on the normative tools of philosophy of computing, informed by empirical and technical insights from computer science, we make the moral case for an alternative approach. We argue that existing recommenders incentivise mass surveillance, concentrate power, fall prey to narrow behaviourism, and compromise user agency. Rather than just trying to avoid algorithms entirely, or to incrementally alter the current paradigm, researchers and engineers should explore an alternative approach: the use of large language models (LLMs) and LLM-based agents to source and curate content that matches users’ preferences and values, expressed in natural language. The use of Language Model Agents for recommendation poses its own challenges, including those related to candidate generation, computational efficiency, preference modelling, and prompt injection. Nonetheless, if implemented successfully, these systems could: guide us through the digital public sphere without relying on mass surveillance; shift power away from platforms towards users; optimise for what matters instead of just for behavioural proxies; and scaffold our agency instead of undermining it.","Argues that language-model agents could improve recommender systems by acting more directly for users' interests, if designed to resist platform capture and respect communicative goods.",no post yet,"Seth Lazara, Luke Thorburnb, Tian Jinc and Luca Belli",Inquiry,moral-case-recommendation,Published
"Moral Agency without Consciousness
",Yes,Yes,30/06/2025,Canadian Journal of Philosophy,https://www.cambridge.org/core/journals/canadian-journal-of-philosophy/article/moral-agency-without-consciousness/EC15925AD695082E62E242A5506320E5,https://www.cambridge.org/core/journals/canadian-journal-of-philosophy/article/moral-agency-without-consciousness/EC15925AD695082E62E242A5506320E5,no github,,"Many views of moral agency include, implicitly or explicitly, a consciousness requirement—namely, the claim that phenomenal consciousness is a necessary condition of moral agency. This paper casts doubt on the consciousness requirement. I argue that consciousness is not necessary for instantiating four key capacities necessary for moral agency: action, moral concept possession, responsiveness to moral reasons, and moral understanding. I defend my picture of nonconscious moral agency as a plausible account of an entity that can act for moral reasons and can be morally responsible. Lastly, I discuss broader implications of my argument, especially on the possibility of artificial moral agency.

","Challenges the view that phenomenal consciousness is necessary for moral agency, arguing that agents may have morally significant agency without conscious experience.",no post yet,Jen Semler,Canadian Journal of Philosophy,moral-agency-without-consciousness,Published
Moral Disagreement and the Limits of AI Value Alignment: A Dual Challenge of Epistemic Justification and Political Legitimacy,Yes,Yes,21/06/2025,AI & Society,https://link.springer.com/article/10.1007/s00146-025-02427-2,https://link.springer.com/article/10.1007/s00146-025-02427-2,no github,,"AI systems are increasingly in a position to have deep and systemic impacts on human wellbeing. Projects in value alignment, a critical area of AI safety research, must ultimately aim to ensure that all those who stand to be affected by such systems have good reason to accept their outputs. This is especially challenging where AI systems are involved in making morally controversial decisions. In this paper, we consider three current approaches to value alignment: crowdsourcing, reinforcement learning from human feedback, and constitutional AI. We argue that all three fail to accommodate reasonable moral disagreement, since they provide neither good epistemic reasons nor good political reasons for accepting AI systems’ morally controversial outputs. Since these appear to be the most promising approaches to value alignment currently on offer, we conclude that accommodating reasonable moral disagreement remains an open problem for AI safety, and we offer guidance for future research.","Argues that AI value alignment must confront persistent moral disagreement, where both epistemic justification and political legitimacy limit any simple aggregation of human values.",no post yet,"Nick Schuster, Daniel Kilov",AI & Society,moral-disagreement-alignment,Accepted
Resource Rational Contractualism Should Guide AI Alignment,Yes,Yes,20/06/2025,International Association for Safe and Ethical AI 2026,https://arxiv.org/abs/2506.17434,https://arxiv.org/abs/2506.17434,https://github.com/mint-philosophy/RRC_experiments/blob/main/README.md,,"AI systems will soon have to navigate human environments and make decisions that affect people and other AI agents whose goals and values diverge. Contractualist alignment proposes grounding those decisions in agreements that diverse stakeholders would endorse under the right conditions, yet securing such agreement at scale remains costly and slow—even for advanced AI. We therefore propose Resource-Rational Contractualism (RRC): a framework where AI systems approximate the agreements rational parties would form by drawing on a toolbox of normatively-grounded, cognitively-inspired heuristics that trade effort for accuracy. An RRC-aligned agent would not only operate efficiently, but also be equipped to dynamically adapt to and interpret the ever-changing human social world.","Proposes resource-rational contractualism as a guide for AI alignment, using agreement-based reasoning under cognitive and computational constraints to navigate plural values.",no post yet,"Sydney Levine, Matija Franklin, Tan Zhi-Xuan, Secil Yanik Guyot, Julia Haas, Lionel Wong, Daniel Kilov, Yejin Choi, Joshua B. Tenenbaum, Noah Goodman, Seth Lazar, Iason Gabriel",International Association for Safe and Ethical AI,resource-rational-contractualism,Accepted
Military AI Cyber Agents (MAICAs) Constitute a Global Threat to Critical Infrastructure,Yes,Yes,12/06/2025,"Regulatable Machine Learning Workshop, Conference on Neural Information Processing Systems 2025",https://arxiv.org/abs/2506.12094,https://arxiv.org/abs/2506.12094,,,"This paper argues that autonomous AI cyber-weapons—Military-AI Cyber Agents
(MAICAs)—create a credible pathway to catastrophic risk. It sets out the technical
feasibility of MAICAs, explains why geopolitics and the nature of cyberspace make
MAICAsacatastrophic risk, and proposes political, defensive-AI and analogue
resilience measures to blunt the threat","Argues that autonomous military cyber agents could create catastrophic risks to critical infrastructure by combining cyber capability, autonomy, escalation pressure, and weak operational control.",,"Timothy Dubber, Seth Lazar","Regulatable Machine Learning Workshop, Conference on Neural Information Processing Systems 2025",maica-risk,Accepted
AI and Democratic Freedoms,Yes,Yes,14/05/2025,Knight First Amendment Institute Symposium,https://knightcolumbia.org/research/artificial-intelligence-and-democratic-freedoms,https://knightcolumbia.org/research/artificial-intelligence-and-democratic-freedoms,,,,Edited symposium on the relationship between artificial intelligence and core democratic freedoms.,,"Seth Lazar, Katy Glenn Bass",Knight First Amendment Institute Symposium,ai-democratic-freedoms,Published
